cowcode,ccode,year,legis,date_low,date_upp,pty_acrn,pty_name,pty_code,fac_name,fac_code,s_low,ts_low,s_upp,ts_upp,presp,cl_other,cl_altman,cl_deheza,cl_dpi,founded,source
160,ARG,1926,1,1926-03-07T00:00:00Z,1925-03-01T00:00:00Z,PS,Socialista,160189601,Socialist,160189601002,8,158,2,30,0,0,,,,1896,"PHW 1928, p.3"
160,ARG,1926,1,1926-03-07T00:00:00Z,1925-03-01T00:00:00Z,PS,Socialista,160189601,Independent Socialist,160189601001,11,158,0,30,0,0,,,,1896,"PHW 1928, p.3"
160,ARG,1926,1,1926-03-07T00:00:00Z,1925-03-01T00:00:00Z,PDP,Partido Demócrata Progresista,160191401,,,3,158,0,30,0,0,,,,1914,"PHW 1928, p.3"
160,ARG,1927,1,1926-03-07T00:00:00Z,1925-03-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Antipersonalista,160189001001,31,158,13,30,1,1,,,,1890,"PHW 1928, p.3"
160,ARG,1927,1,1926-03-07T00:00:00Z,1925-03-01T00:00:00Z,CONS,Conservative,160187401,,,40,158,8,30,0,0,,,,1874,"PHW 1928, p.3"
160,ARG,1927,1,1926-03-07T00:00:00Z,1925-03-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Yrigoyenist,160189001002,55,158,4,30,0,0,,,,1890,"PHW 1928, p.3"
160,ARG,1927,1,1926-03-07T00:00:00Z,1925-03-01T00:00:00Z,PS,Socialista,160189601,Socialist,160189601002,8,158,2,30,0,0,,,,1896,"PHW 1928, p.3"
160,ARG,1927,1,1926-03-07T00:00:00Z,1925-03-01T00:00:00Z,PS,Socialista,160189601,Independent Socialist,160189601001,11,158,0,30,0,0,,,,1896,"PHW 1928, p.3"
160,ARG,1927,1,1926-03-07T00:00:00Z,1925-03-01T00:00:00Z,PDP,Partido Demócrata Progresista,160191401,,,3,158,0,30,0,0,,,,1914,"PHW 1928, p.3"
160,ARG,1928,1,1928-04-01T00:00:00Z,1928-04-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Yrigoyenist,160189001002,87,158,7,30,1,1,,,,1890,"PHW 1929, p.2"
160,ARG,1928,1,1928-04-01T00:00:00Z,1928-04-01T00:00:00Z,CONS,Conservative,160187401,,,33,158,8,30,0,0,,,,1874,"PHW 1929, p.2"
160,ARG,1928,1,1928-04-01T00:00:00Z,1928-04-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Antipersonalista,160189001001,25,158,10,30,0,0,,,,1890,"PHW 1929, p.2"
160,ARG,1928,1,1928-04-01T00:00:00Z,1928-04-01T00:00:00Z,PS,Socialista,160189601,Socialist,160189601002,2,158,1,30,0,0,,,,1896,"PHW 1929, p.2"
160,ARG,1928,1,1928-04-01T00:00:00Z,1928-04-01T00:00:00Z,PS,Socialista,160189601,Independent Socialist,160189601001,8,158,0,30,0,0,,,,1896,"PHW 1929, p.2"
160,ARG,1929,1,1928-04-01T00:00:00Z,1928-04-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Yrigoyenist,160189001002,87,158,7,30,1,1,,,,1890,"PHW 1930, p.2"
160,ARG,1929,1,1928-04-01T00:00:00Z,1928-04-01T00:00:00Z,CONS,Conservative,160187401,,,33,158,8,30,0,0,,,,1874,"PHW 1930, p.2"
160,ARG,1929,1,1928-04-01T00:00:00Z,1928-04-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Antipersonalista,160189001001,25,158,10,30,0,0,,,,1890,"PHW 1930, p.2"
160,ARG,1929,1,1928-04-01T00:00:00Z,1928-04-01T00:00:00Z,PS,Socialista,160189601,Socialist,160189601002,2,158,1,30,0,0,,,,1896,"PHW 1930, p.2"
160,ARG,1929,1,1928-04-01T00:00:00Z,1928-04-01T00:00:00Z,PS,Socialista,160189601,Independent Socialist,160189601001,8,158,0,30,0,0,,,,1896,"PHW 1930, p.2"
160,ARG,1930,2,1930-04-01T00:00:00Z,1928-04-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Yrigoyenist,160189001002,100,158,7,30,1,1,,,,1890,"PHW 1931, p.2"
160,ARG,1930,2,1930-04-01T00:00:00Z,1928-04-01T00:00:00Z,CONS,Conservative,160187401,,,26,158,8,30,0,0,,,,1874,"PHW 1931, p.2"
160,ARG,1930,2,1930-04-01T00:00:00Z,1928-04-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Antipersonalista,160189001001,11,158,10,30,0,0,,,,1890,"PHW 1931, p.2"
160,ARG,1930,2,1930-04-01T00:00:00Z,1928-04-01T00:00:00Z,PS,Socialista,160189601,Socialist,160189601002,17,158,1,30,0,0,,,,1896,"PHW 1931, p.2"
160,ARG,1930,2,1930-04-01T00:00:00Z,1928-04-01T00:00:00Z,,Other,160999901,,,4,158,0,30,0,0,,,,9999,"PHW 1931, p.2"
160,ARG,1931,0,,,NAC,Nacionalismo,,,,,,,,1,1,,,,,"PHW 1932, p.2"
160,ARG,1932,1,1931-11-01T00:00:00Z,1931-11-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Antipersonalista,160189001001,21,157,9,30,1,1,,,,1890,"PHW 1933, p.2"
160,ARG,1932,1,1931-11-01T00:00:00Z,1931-11-01T00:00:00Z,NDP,National Democratic,160193101,,,64,157,15,30,0,1,,,,1931,"PHW 1933, p.2"
160,ARG,1932,1,1931-11-01T00:00:00Z,1931-11-01T00:00:00Z,PS,Socialista,160189601,Independent Socialist,160189601001,10,157,2,30,0,1,,,,1896,"PHW 1933, p.2"
160,ARG,1932,1,1931-11-01T00:00:00Z,1931-11-01T00:00:00Z,PDP,Partido Demócrata Progresista,160191401,,,13,157,2,30,0,0,,,,1914,"PHW 1933, p.2"
160,ARG,1932,1,1931-11-01T00:00:00Z,1931-11-01T00:00:00Z,PS,Socialista,160189601,Socialist,160189601002,44,157,0,30,0,0,,,,1896,"PHW 1933, p.2"
160,ARG,1932,1,1931-11-01T00:00:00Z,1931-11-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Entre Rios,160189001003,5,157,2,30,0,0,,,,1890,"PHW 1933, p.2"
160,ARG,1933,1,1931-11-01T00:00:00Z,1931-11-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Antipersonalista,160189001001,17,158,9,30,1,1,,,,1890,"PHW 1934, p.2"
160,ARG,1933,1,1931-11-01T00:00:00Z,1931-11-01T00:00:00Z,NDP,National Democratic,160193101,,,54,158,14,30,0,1,,,,1931,"PHW 1934, p.2"
160,ARG,1933,1,1931-11-01T00:00:00Z,1931-11-01T00:00:00Z,PS,Socialista,160189601,Independent Socialist,160189601001,9,158,2,30,0,1,,,,1896,"PHW 1934, p.2"
160,ARG,1933,1,1931-11-01T00:00:00Z,1931-11-01T00:00:00Z,PDP,Partido Demócrata Progresista,160191401,,,14,158,2,30,0,0,,,,1914,"PHW 1934, p.2"
160,ARG,1933,1,1931-11-01T00:00:00Z,1931-11-01T00:00:00Z,PS,Socialista,160189601,Socialist,160189601002,42,158,0,30,0,0,,,,1896,"PHW 1934, p.2"
160,ARG,1933,1,1931-11-01T00:00:00Z,1931-11-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Entre Rios,160189001003,6,158,2,30,0,0,,,,1890,"PHW 1934, p.2"
160,ARG,1933,1,1931-11-01T00:00:00Z,1931-11-01T00:00:00Z,LIB,Liberal [Corrientes],160888802,,,5,158,0,30,0,1,,,,8888,"PHW 1934, p.2"
160,ARG,1933,1,1931-11-01T00:00:00Z,1931-11-01T00:00:00Z,PD,Provincial Defense [Tucuman],160888804,,,3,158,0,30,0,0,,,,8888,"PHW 1934, p.2"
160,ARG,1933,1,1931-11-01T00:00:00Z,1931-11-01T00:00:00Z,PP,Popular Party [Jujuy],160888803,,,2,158,0,30,0,1,,,,8888,"PHW 1934, p.2"
160,ARG,1934,1,1934-03-01T00:00:00Z,1931-11-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Antipersonalista,160189001001,15,158,9,30,1,1,,,,1890,"PHW 1935, p.2"
160,ARG,1934,1,1934-03-01T00:00:00Z,1931-11-01T00:00:00Z,NDP,National Democratic,160193101,,,60,158,15,30,0,1,,,,1931,"PHW 1935, p.2"
160,ARG,1934,1,1934-03-01T00:00:00Z,1931-11-01T00:00:00Z,PS,Socialista,160189601,Independent Socialist,160189601001,8,158,0,30,0,1,,,,1896,"PHW 1935, p.2"
160,ARG,1934,1,1934-03-01T00:00:00Z,1931-11-01T00:00:00Z,PDP,Partido Demócrata Progresista,160191401,,,12,158,2,30,0,0,,,,1914,"PHW 1935, p.2"
160,ARG,1934,1,1934-03-01T00:00:00Z,1931-11-01T00:00:00Z,PS,Socialista,160189601,Socialist,160189601002,42,158,2,30,0,0,,,,1896,"PHW 1935, p.2"
160,ARG,1934,1,1934-03-01T00:00:00Z,1931-11-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Entre Rios,160189001003,7,158,2,30,0,0,,,,1890,"PHW 1935, p.2"
160,ARG,1934,1,1934-03-01T00:00:00Z,1931-11-01T00:00:00Z,LIB,Liberal [Corrientes],160888802,,,4,158,0,30,0,1,,,,8888,"PHW 1935, p.2"
160,ARG,1934,1,1934-03-01T00:00:00Z,1931-11-01T00:00:00Z,PD,Provincial Defense [Tucuman],160888804,,,1,158,0,30,0,0,,,,8888,"PHW 1935, p.2"
160,ARG,1934,1,1934-03-01T00:00:00Z,1931-11-01T00:00:00Z,PP,Popular Party [Jujuy],160888803,,,2,158,0,30,0,1,,,,8888,"PHW 1935, p.2"
160,ARG,1934,1,1934-03-01T00:00:00Z,1931-11-01T00:00:00Z,UCRD,Dissident Radicals,160888801,,,3,158,0,30,0,0,,,,8888,"PHW 1935, p.2"
160,ARG,1935,1,1934-03-01T00:00:00Z,1935-04-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Antipersonalista,160189001001,14,158,8,30,1,1,,,,1890,"PHW 1936, p.3"
160,ARG,1935,1,1934-03-01T00:00:00Z,1935-04-01T00:00:00Z,NDP,National Democratic,160193101,,,57,158,15,30,0,1,,,,1931,"PHW 1936, p.3"
160,ARG,1935,1,1934-03-01T00:00:00Z,1935-04-01T00:00:00Z,PS,Socialista,160189601,Independent Socialist,160189601001,6,158,0,30,0,1,,,,1896,"PHW 1936, p.3"
160,ARG,1935,1,1934-03-01T00:00:00Z,1935-04-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,"Tucuman, Mendoza, S Juan",160189001004,4,158,0,30,0,0,,,,1890,"PHW 1936, p.3"
160,ARG,1935,1,1934-03-01T00:00:00Z,1935-04-01T00:00:00Z,PDP,Partido Demócrata Progresista,160191401,,,13,158,2,30,0,0,,,,1914,"PHW 1936, p.3"
160,ARG,1935,1,1934-03-01T00:00:00Z,1935-04-01T00:00:00Z,PS,Socialista,160189601,Socialist,160189601002,42,158,1,30,0,0,,,,1896,"PHW 1936, p.3"
160,ARG,1935,1,1934-03-01T00:00:00Z,1935-04-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Entre Rios,160189001003,6,158,2,30,0,0,,,,1890,"PHW 1936, p.3"
160,ARG,1935,1,1934-03-01T00:00:00Z,1935-04-01T00:00:00Z,LIB,Liberal [Corrientes],160888802,,,4,158,0,30,0,1,,,,8888,"PHW 1936, p.3"
160,ARG,1935,1,1934-03-01T00:00:00Z,1935-04-01T00:00:00Z,PD,Provincial Defense [Tucuman],160888804,,,1,158,0,30,0,0,,,,8888,"PHW 1936, p.3"
160,ARG,1935,1,1934-03-01T00:00:00Z,1935-04-01T00:00:00Z,PP,Popular Party [Jujuy],160888803,,,2,158,0,30,0,1,,,,8888,"PHW 1936, p.3"
160,ARG,1935,1,1934-03-01T00:00:00Z,1935-04-01T00:00:00Z,ICAP,Independent [Capital Federal],160888805,,,2,158,0,30,0,0,,,,8888,"PHW 1936, p.3"
160,ARG,1936,1,1936-03-01T00:00:00Z,1935-04-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Antipersonalista,160189001001,14,156,0,30,1,1,,,,1890,"PHW 1937, p.3"
160,ARG,1936,1,1936-03-01T00:00:00Z,1935-04-01T00:00:00Z,NDP,National Democratic,160193101,,,59,156,20,30,0,1,,,,1931,"PHW 1937, p.3"
160,ARG,1936,1,1936-03-01T00:00:00Z,1935-04-01T00:00:00Z,PS,Socialista,160189601,Independent Socialist,160189601001,2,156,0,30,0,1,,,,1896,"PHW 1937, p.3"
160,ARG,1936,1,1936-03-01T00:00:00Z,1935-04-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Yrigoyenist,160189001002,44,156,0,30,0,0,,,,1890,"PHW 1937, p.3"
160,ARG,1936,1,1936-03-01T00:00:00Z,1935-04-01T00:00:00Z,PDP,Partido Demócrata Progresista,160191401,,,6,156,1,30,0,0,,,,1914,"PHW 1937, p.3"
160,ARG,1936,1,1936-03-01T00:00:00Z,1935-04-01T00:00:00Z,PS,Socialista,160189601,Socialist,160189601002,25,156,2,30,0,0,,,,1896,"PHW 1937, p.3"
160,ARG,1936,1,1936-03-01T00:00:00Z,1935-04-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Entre Rios,160189001003,0,156,2,30,0,0,,,,1890,"PHW 1937, p.3"
160,ARG,1936,1,1936-03-01T00:00:00Z,1935-04-01T00:00:00Z,UCRD,Dissident Radicals,160888801,,,0,156,1,30,0,0,,,,8888,"PHW 1937, p.3"
160,ARG,1936,1,1936-03-01T00:00:00Z,1935-04-01T00:00:00Z,LIB,Liberal [Corrientes],160888802,,,2,156,0,30,0,0,,,,8888,"PHW 1937, p.3"
160,ARG,1936,1,1936-03-01T00:00:00Z,1935-04-01T00:00:00Z,,Other,160999901,,,4,156,3,30,0,0,,,,9999,"PHW 1937, p.3"
160,ARG,1937,1,1936-03-01T00:00:00Z,1935-04-01T00:00:00Z,NDP,National Democratic,160193101,,,54,156,16,30,0,1,,,,1931,"PHW 1938, p.3"
160,ARG,1937,1,1936-03-01T00:00:00Z,1935-04-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Antipersonalista,160189001001,14,156,5,30,1,1,,,,1890,"PHW 1938, p.3"
160,ARG,1937,1,1936-03-01T00:00:00Z,1935-04-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Yrigoyenist,160189001002,43,156,2,30,0,0,,,,1890,"PHW 1938, p.3"
160,ARG,1937,1,1936-03-01T00:00:00Z,1935-04-01T00:00:00Z,PS,Socialista,160189601,Socialist,160189601002,23,156,2,30,0,0,,,,1896,"PHW 1938, p.3"
160,ARG,1937,1,1936-03-01T00:00:00Z,1935-04-01T00:00:00Z,PS,Socialista,160189601,Independent Socialist,160189601001,2,156,0,30,0,1,,,,1896,"PHW 1938, p.3"
160,ARG,1937,1,1936-03-01T00:00:00Z,1935-04-01T00:00:00Z,PDP,Partido Demócrata Progresista,160191401,,,6,156,0,30,0,0,,,,1914,"PHW 1938, p.3"
160,ARG,1937,1,1936-03-01T00:00:00Z,1935-04-01T00:00:00Z,PP,Popular Party [Jujuy],160888803,,,2,156,2,30,0,1,,,,8888,"PHW 1938, p.3"
160,ARG,1937,1,1936-03-01T00:00:00Z,1935-04-01T00:00:00Z,UCRD,Dissident Radicals,160888801,,,5,156,2,30,0,0,,,,8888,"PHW 1938, p.3"
160,ARG,1937,1,1936-03-01T00:00:00Z,1935-04-01T00:00:00Z,LABOR,Socialist Workers,160193201,,,2,156,0,30,0,0,,,,1932,"PHW 1938, p.3"
160,ARG,1937,1,1936-03-01T00:00:00Z,1935-04-01T00:00:00Z,LIB,Liberal [Corrientes],160888802,,,2,156,0,30,0,1,,,,8888,"PHW 1938, p.3"
160,ARG,1937,1,1936-03-01T00:00:00Z,1935-04-01T00:00:00Z,,Other,160999901,,,3,156,1,30,0,0,,,,9999,"PHW 1938, p.3"
160,ARG,1938,1,1938-03-01T00:00:00Z,1938-03-01T00:00:00Z,NDP,National Democratic,160193101,,,59,158,17,30,0,1,,,,1931,"PHW 1939, p.3"
160,ARG,1938,1,1938-03-01T00:00:00Z,1938-03-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Antipersonalista,160189001001,24,158,6,30,1,1,,,,1890,"PHW 1939, p.3"
160,ARG,1938,1,1938-03-01T00:00:00Z,1938-03-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Yrigoyenist,160189001002,63,158,3,30,0,0,,,,1890,"PHW 1939, p.3"
160,ARG,1938,1,1938-03-01T00:00:00Z,1938-03-01T00:00:00Z,PS,Socialista,160189601,Socialist,160189601002,5,158,1,30,0,0,,,,1896,"PHW 1939, p.3"
160,ARG,1938,1,1938-03-01T00:00:00Z,1938-03-01T00:00:00Z,UCRD,Dissident Radicals,160888801,,,5,158,2,30,0,0,,,,8888,"PHW 1939, p.3"
160,ARG,1938,1,1938-03-01T00:00:00Z,1938-03-01T00:00:00Z,LIB,Liberal [Corrientes],160888802,,,1,158,0,30,0,0,,,,8888,"PHW 1939, p.3"
160,ARG,1939,1,1938-03-01T00:00:00Z,1938-03-01T00:00:00Z,NDP,National Democratic,160193101,,,57,158,16,30,0,1,,,,1931,"PHW 1940, p.1"
160,ARG,1939,1,1938-03-01T00:00:00Z,1938-03-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Antipersonalista,160189001001,23,158,6,30,1,1,,,,1890,"PHW 1940, p.1"
160,ARG,1939,1,1938-03-01T00:00:00Z,1938-03-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Yrigoyenist,160189001002,62,158,2,30,0,0,,,,1890,"PHW 1940, p.1"
160,ARG,1939,1,1938-03-01T00:00:00Z,1938-03-01T00:00:00Z,PS,Socialista,160189601,Socialist,160189601002,5,158,1,30,0,0,,,,1896,"PHW 1940, p.1"
160,ARG,1939,1,1938-03-01T00:00:00Z,1938-03-01T00:00:00Z,UCRD,Dissident Radicals,160888801,,,5,158,2,30,0,0,,,,8888,"PHW 1940, p.1"
160,ARG,1939,1,1938-03-01T00:00:00Z,1938-03-01T00:00:00Z,PS,Socialista,160189601,Independent Socialist,160189601001,0,158,1,30,0,1,,,,1896,"PHW 1940, p.1"
160,ARG,1939,1,1938-03-01T00:00:00Z,1938-03-01T00:00:00Z,LIB,Liberal [Corrientes],160888802,,,1,158,0,30,0,0,,,,8888,"PHW 1940, p.1"
160,ARG,1940,1,1940-03-01T00:00:00Z,1938-03-01T00:00:00Z,NDP,National Democratic,160193101,,,49,158,13,30,1,1,,,,1931,"PHW 1941, p.1"
160,ARG,1940,1,1940-03-01T00:00:00Z,1938-03-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Antipersonalista,160189001001,19,158,7,30,0,1,,,,1890,"PHW 1941, p.1"
160,ARG,1940,1,1940-03-01T00:00:00Z,1938-03-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Yrigoyenist,160189001002,76,158,4,30,0,0,,,,1890,"PHW 1941, p.1"
160,ARG,1940,1,1940-03-01T00:00:00Z,1938-03-01T00:00:00Z,PS,Socialista,160189601,Socialist,160189601002,5,158,1,30,0,0,,,,1896,"PHW 1941, p.1"
160,ARG,1940,1,1940-03-01T00:00:00Z,1938-03-01T00:00:00Z,UCRD,Dissident Radicals,160888801,,,7,158,1,30,0,0,,,,8888,"PHW 1941, p.1"
160,ARG,1940,1,1940-03-01T00:00:00Z,1938-03-01T00:00:00Z,PS,Socialista,160189601,Independent Socialist,160189601001,0,158,1,30,0,1,,,,1896,"PHW 1941, p.1"
160,ARG,1941,1,1940-03-01T00:00:00Z,1941-03-01T00:00:00Z,NDP,National Democratic,160193101,,,45,158,13,30,1,1,,,,1931,"PHW 1942, p.1"
160,ARG,1941,1,1940-03-01T00:00:00Z,1941-03-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Antipersonalista,160189001001,15,158,7,30,0,1,,,,1890,"PHW 1942, p.1"
160,ARG,1941,1,1940-03-01T00:00:00Z,1941-03-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Yrigoyenist,160189001002,72,158,4,30,0,0,,,,1890,"PHW 1942, p.1"
160,ARG,1941,1,1940-03-01T00:00:00Z,1941-03-01T00:00:00Z,PS,Socialista,160189601,Socialist,160189601002,5,158,1,30,0,0,,,,1896,"PHW 1942, p.1"
160,ARG,1941,1,1940-03-01T00:00:00Z,1941-03-01T00:00:00Z,UCRD,Dissident Radicals,160888801,,,12,158,1,30,0,0,,,,8888,"PHW 1942, p.1"
160,ARG,1942,1,1942-03-01T00:00:00Z,1941-03-01T00:00:00Z,CC,Concordancia,160193102,,,68,158,24,30,1,1,,,,1931,"PHW 1943, p.1"
160,ARG,1942,1,1942-03-01T00:00:00Z,1941-03-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Radical Yrigoyenist,160189001002,64,158,4,30,0,0,,,,1890,"PHW 1943, p.1"
160,ARG,1942,1,1942-03-01T00:00:00Z,1941-03-01T00:00:00Z,PS,Socialista,160189601,Socialist,160189601002,17,158,1,30,0,0,,,,1896,"PHW 1943, p.1"
160,ARG,1942,1,1942-03-01T00:00:00Z,1941-03-01T00:00:00Z,UCRD,Dissident Radicals,160888801,,,3,158,1,30,0,0,,,,8888,"PHW 1943, p.1"
160,ARG,1942,1,1942-03-01T00:00:00Z,1941-03-01T00:00:00Z,,Other,160999901,,,6,158,0,30,0,0,,,,9999,"PHW 1943, p.1"
160,ARG,1943,2,,,RN,Recuperación Nacional,,,,,,,,1,1,,,,,"PHW 1944, p.1"
160,ARG,1944,0,,,RN,Recuperación Nacional,,,,,,,,1,1,,,,,"PHW 1945, p.1"
160,ARG,1945,0,,,RN,Recuperación Nacional,,,,,,,,1,1,,,,,"PHW 1946, p.1"
160,ARG,1946,1,1946-02-24T00:00:00Z,1946-04-01T00:00:00Z,,Laborista,160194502,,160194502000,115,158,30,30,1,1,,,,1945,PHW 1947: 1-1
160,ARG,1946,1,1946-02-24T00:00:00Z,1946-04-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,,160189001000,43,158,0,30,0,0,,,,1890,PHW 1947: 1-2
160,ARG,1947,1,1946-02-24T00:00:00Z,1946-04-01T00:00:00Z,,Peronista,160194601,,160194601000,102,158,28,30,1,1,,,,1946,PHW 1948
160,ARG,1947,1,1946-02-24T00:00:00Z,1946-04-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,,160189001000,44,158,0,30,0,,,,,1890,PHW 1948
160,ARG,1947,1,1946-02-24T00:00:00Z,1946-04-01T00:00:00Z,,Demócrata Nacional,160193001,,160193001000,2,158,0,30,0,,,,,1930,PHW 1948
160,ARG,1947,1,1946-02-24T00:00:00Z,1946-04-01T00:00:00Z,,Independent,160999901,,160999901000,2,158,0,30,0,,,,,9999,PHW 1948
160,ARG,1947,1,1946-02-24T00:00:00Z,1946-04-01T00:00:00Z,PDP,Partido Demócrata Progresista,160191401,,160191401000,1,158,0,30,0,,,,,1914,PHW 1948
160,ARG,1947,1,1946-02-24T00:00:00Z,1946-04-01T00:00:00Z,,Laborista,160194502,,160194502000,1,158,0,30,1,1,,,,1945,PHW 1948
160,ARG,1948,1,1948-03-07T00:00:00Z,1946-04-01T00:00:00Z,,Peronista,160194601,,160194601000,108,158,28,30,1,1,,,,1946,PHW 1949: 1-2
160,ARG,1948,1,1948-03-07T00:00:00Z,1946-04-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,,160189001000,43,158,0,30,0,0,,,,1890,PHW 1949: 1-2
160,ARG,1948,1,1948-03-07T00:00:00Z,1946-04-01T00:00:00Z,,Demócrata Nacional,160193001,,160193001000,1,158,0,30,0,,,,,1930,PHW 1949: 1-2
160,ARG,1949,1,1948-03-07T00:00:00Z,1946-04-01T00:00:00Z,,Peronista,160194601,,160194601000,113,158,29,30,1,1,,,,1946,PHW 1950: 1-2
160,ARG,1949,1,1948-03-07T00:00:00Z,1946-04-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Main,160189001001,41,158,0,30,0,,,,,1890,PHW 1950: 1-2
160,ARG,1949,1,1948-03-07T00:00:00Z,1946-04-01T00:00:00Z,,Demócrata Nacional,160193001,,160193001000,1,158,0,30,0,,,,,1930,PHW 1950: 1-2
160,ARG,1949,1,1948-03-07T00:00:00Z,1946-04-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Antipersonalista,160189001002,1,158,0,30,0,,,,,1890,PHW 1950: 1-2
160,ARG,1950,1,1948-03-07T00:00:00Z,1946-04-01T00:00:00Z,,Peronista,160194601,,160194601000,110,158,27,30,1,1,,,,1946,PHW 1951: 1-2
160,ARG,1950,1,1948-03-07T00:00:00Z,1946-04-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Main,160189001001,18,158,0,30,0,0,,,,1890,PHW 1951: 1-2
160,ARG,1950,1,1948-03-07T00:00:00Z,1946-04-01T00:00:00Z,,Demócrata Nacional,160193001,,160193001000,1,158,0,30,0,,,,,1930,PHW 1951: 1-2
160,ARG,1950,1,1948-03-07T00:00:00Z,1946-04-01T00:00:00Z,UCR,Unión Cívica Radical,160189001,Antipersonalista,160189001002,1,158,0,30,0,0,,,,1890,PHW 1951: 1-2
160,ARG,1951,1,1948-03-07T00:00:00Z,1946-04-01T00:00:00Z,,Peronista,160194601,,160194601000,110,158,27,30,1,1,,,,1946,PHW 1951: 1-2
